Gene	Chrom	Start	End	Strand	Introns	Expression	Functional	NotFunctional	Functional_Transcripts	NotFunctional_Transcripts	Shannon	Evenness	Hill_q0	Hill_q1	Hill_q2	Num_Isoforms	MatingTypeRegion
estExt_fgenesh2_kg.C_10005	scaffold_1	118262	119824	+	0	78	13	65	1	2	1.0273	0.9351	3	2.7935	2.6614	3	0
20	scaffold_1	124813	125467	+	0	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_10007	scaffold_1	126804	127799	+	0	85	85	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
22	scaffold_1	132220	133168	+	2	13	0	13	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_10065	scaffold_1	137813	140219	+	0	87	87	0	2	0	0.5527	0.7973	2	1.7379	1.5779	2	0
MicpuC2.est_orfs.1_57_4271379:2	scaffold_1	144355	145768	+	1	220	220	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010069	scaffold_1	147121	149204	+	2	229	220	9	1	1	0.1657	0.2391	2	1.1802	1.0817	2	0
26	scaffold_1	151326	152412	+	0	143	143	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_10049	scaffold_1	161162	162688	+	2	198	198	0	3	0	0.2528	0.2301	3	1.2877	1.1192	3	0
28	scaffold_1	169070	170045	+	0	56	56	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
29	scaffold_1	171441	171991	+	0	123	123	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
30	scaffold_1	173358	174245	+	0	4648	4648	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_1_t10127	scaffold_1	176156	177415	+	1	902	902	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
32	scaffold_1	186541	188156	+	1	65	65	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
33	scaffold_1	199426	200489	+	0	188	188	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
34	scaffold_1	200499	201544	+	1	159	159	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
35	scaffold_1	219278	220302	+	0	536	536	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
36	scaffold_1	225290	226650	+	1	128	128	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
37	scaffold_1	228441	230525	+	0	169	169	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_20_#_4273855:1	scaffold_1	246527	247389	+	2	1248	1225	23	1	1	0.0919	0.1325	2	1.0962	1.0375	2	0
MicpuC2.EuGene.0000010115	scaffold_1	250304	252532	+	1	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
40	scaffold_1	260609	262871	+	1	29	8	21	2	2	1.2726	0.9180	4	3.5702	3.2980	4	0
MicpuC2.estExt_Genewise1Plus.C_10135	scaffold_1	278033	279192	+	1	1612	1612	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010134	scaffold_1	284974	287378	+	1	168	168	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010141	scaffold_1	303431	304222	+	1	55	55	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
44	scaffold_1	311450	312546	+	0	911	911	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
45	scaffold_1	314834	316477	+	0	57	57	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
46	scaffold_1	316571	318507	+	1	16	16	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_1_t10232	scaffold_1	324057	325248	+	2	23065	23065	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_27_#_4269909:1	scaffold_1	326592	327497	+	1	2004	2004	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.1_125_4279127:1	scaffold_1	338326	339207	+	2	112	4	108	1	3	0.4282	0.3089	4	1.5345	1.2248	4	0
50	scaffold_1	351936	353193	+	0	158	158	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
51	scaffold_1	356353	356963	+	0	16	16	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_1_t10267	scaffold_1	360778	362074	+	1	300	300	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
53	scaffold_1	372462	374222	+	1	166	7	159	2	2	0.7007	0.5054	4	2.0151	1.6397	4	0
54	scaffold_1	379383	381090	+	0	342	42	300	1	3	1.3288	0.9585	4	3.7765	3.6266	4	0
55	scaffold_1	382411	382998	+	0	174	174	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
56	scaffold_1	384292	385991	+	0	86	86	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
57	scaffold_1	389566	390941	+	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
58	scaffold_1	402548	404771	+	2	324	324	0	2	0	0.3358	0.4845	2	1.3991	1.2313	2	0
59	scaffold_1	410866	411888	+	0	6845	6845	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
60	scaffold_1	415877	416797	+	0	340	340	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
61	scaffold_1	423942	425499	+	0	68	68	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_1_t10364	scaffold_1	433195	435373	+	0	128	128	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
63	scaffold_1	437288	439397	+	0	74	74	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010219	scaffold_1	442710	444518	+	1	440	440	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.1_165_4273557:1	scaffold_1	446468	447313	+	0	85	85	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
66	scaffold_1	456389	457227	+	0	16	16	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_10262	scaffold_1	460757	461918	+	1	6279	6279	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
68	scaffold_1	462108	463883	+	2	227	227	0	2	0	0.1376	0.1986	2	1.1476	1.0636	2	0
69	scaffold_1	463912	465074	+	0	107	107	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
70	scaffold_1	470712	472590	+	0	1058	1058	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
71	scaffold_1	472710	473733	+	0	60	60	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
72	scaffold_1	478511	479681	+	1	152	152	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_10041	scaffold_1	479789	480598	+	0	254	254	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
74	scaffold_1	480640	481876	+	2	7	7	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
75	scaffold_1	484972	485994	+	0	879	879	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.MAE_EuGene.0000010246	scaffold_1	491908	493538	+	3	820	820	0	2	0	0.6149	0.8872	2	1.8495	1.7357	2	0
77	scaffold_1	494839	496924	+	0	197	197	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pg.C_10100	scaffold_1	509885	511757	+	1	137	137	0	3	0	0.4556	0.4147	3	1.5770	1.2893	3	0
MicpuC2.EuGene.0000010258	scaffold_1	512395	513685	+	2	71	71	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
80	scaffold_1	519568	520085	+	0	129	0	129	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_50_#_4271889:1	scaffold_1	522300	523624	+	0	181	181	0	2	0	0.6529	0.9419	2	1.9211	1.8529	2	0
82	scaffold_1	531402	532718	+	1	66	66	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010268	scaffold_1	536924	537866	+	0	297	297	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
84	scaffold_1	539023	541941	+	1	273	273	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
85	scaffold_1	551143	552560	+	1	188	0	188	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh3_kg.C_10028	scaffold_1	552781	554103	+	1	7669	7669	0	2	0	0.0817	0.1178	2	1.0851	1.0323	2	0
87	scaffold_1	561035	562544	+	1	39	36	3	1	1	0.2712	0.3912	2	1.3115	1.1655	2	0
MicpuC2.estExt_fgenesh1_pg.C_10170	scaffold_1	582905	586466	+	3	180	29	151	1	2	0.8957	0.8153	3	2.4491	2.0874	3	0
89	scaffold_1	587886	588973	+	1	83	83	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
90	scaffold_1	591165	592932	+	0	278	278	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
91	scaffold_1	596124	597345	+	0	207	207	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
92	scaffold_1	598478	599252	+	0	585	585	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010303	scaffold_1	603842	604367	+	1	13	0	13	0	2	0.6902	0.9957	2	1.9941	1.9882	2	0
94	scaffold_1	608468	608963	+	0	39	39	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
95	scaffold_1	619251	621894	+	0	54	54	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_10060	scaffold_1	630919	632219	+	0	113	113	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
97	scaffold_1	647198	647910	+	0	151	151	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010324	scaffold_1	648026	650038	+	1	119	119	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
99	scaffold_1	650136	651710	+	1	149	149	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
100	scaffold_1	657695	659308	+	0	338	338	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
101	scaffold_1	671625	673684	+	3	120	7	113	1	2	0.4631	0.4216	3	1.5890	1.2929	3	0
102	scaffold_1	712008	712699	+	0	19	19	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
103	scaffold_1	722244	723444	+	0	59	27	32	1	1	0.6896	0.9948	2	1.9928	1.9857	2	0
104	scaffold_1	723634	724492	+	0	102	102	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
105	scaffold_1	731479	732073	+	0	66	66	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
106	scaffold_1	737355	739340	+	1	168	168	0	2	0	0.4409	0.6360	2	1.5540	1.3694	2	0
107	scaffold_1	740902	741551	+	1	269	101	168	1	2	0.7321	0.6664	3	2.0794	1.9497	3	0
108	scaffold_1	742880	743858	+	0	19	19	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_79_#_4277156:147	scaffold_1	747578	748769	+	1	33548	33548	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
110	scaffold_1	755424	756316	+	0	24	24	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
111	scaffold_1	774543	775518	+	0	123	0	123	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
112	scaffold_1	784923	786305	+	0	2413	2413	0	2	0	0.1977	0.2853	2	1.2186	1.1044	2	0
113	scaffold_1	786330	788259	+	0	48	48	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
114	scaffold_1	825044	825257	+	0	20	0	20	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
115	scaffold_1	826763	827728	+	1	327	327	0	2	0	0.0660	0.0953	2	1.0683	1.0248	2	0
116	scaffold_1	827906	830384	+	0	106	106	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
117	scaffold_1	832175	832854	+	1	64	0	64	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
118	scaffold_1	835385	836666	+	0	683	683	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
119	scaffold_1	847587	848752	+	0	2441	2441	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
120	scaffold_1	858656	859400	+	2	36	0	36	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
121	scaffold_1	863899	864694	+	0	1340	1340	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
122	scaffold_1	866615	867344	+	1	188	188	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.DRO_estExt_fgenesh1_pg.C_10251	scaffold_1	875000	876015	+	1	169	169	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
124	scaffold_1	879278	881189	+	0	100	100	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_98_#_4277080:1	scaffold_1	881295	882992	+	0	1480	1480	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pm.C_1_t10212	scaffold_1	886900	887629	+	0	11	11	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
127	scaffold_1	888666	889868	+	1	183	183	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_1_t20320	scaffold_1	895679	896558	+	0	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
129	scaffold_1	905204	906338	+	0	1021	1021	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
130	scaffold_1	911436	912767	+	1	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
131	scaffold_1	917074	917582	+	0	140	140	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
132	scaffold_1	918851	920239	+	0	364	364	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
133	scaffold_1	925170	927176	+	2	9	3	6	1	1	0.6365	0.9183	2	1.8899	1.8000	2	0
134	scaffold_1	941442	943976	+	5	282	224	58	3	5	1.0447	0.5024	8	2.8424	1.8934	8	0
estExt_fgenesh1_pm.C_1_t10238	scaffold_1	945436	946561	+	0	99	99	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_10270	scaffold_1	952755	954788	+	1	345	345	0	2	0	0.0632	0.0912	2	1.0652	1.0235	2	0
MicpuC2.estExt_fgenesh1_kg.C_10041	scaffold_1	958014	959877	+	1	90	45	45	2	1	1.0386	0.9454	3	2.8253	2.6627	3	0
138	scaffold_1	960023	960971	+	1	122	122	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
139	scaffold_1	962620	963299	+	1	273	273	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
140	scaffold_1	966431	967310	+	1	720	720	0	2	0	0.2106	0.3038	2	1.2344	1.1142	2	0
141	scaffold_1	970792	971790	+	0	84	84	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
142	scaffold_1	974730	975848	+	0	265	265	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
143	scaffold_1	977895	978535	+	0	43	43	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
144	scaffold_1	982647	984540	+	1	1654	1654	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
145	scaffold_1	988837	989298	+	1	60	60	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
146	scaffold_1	1002532	1003996	+	1	28	28	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010514	scaffold_1	1004148	1005375	+	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
148	scaffold_1	1035470	1036474	+	0	57	57	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh1_kg.1_#_138_#_50323	scaffold_1	1072041	1072691	+	0	62	62	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
150	scaffold_1	1074031	1076029	+	1	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
151	scaffold_1	1083821	1085339	+	0	460	460	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
152	scaffold_1	1086209	1087633	+	1	119	119	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
153	scaffold_1	1090508	1091440	+	2	135	4	131	1	2	0.2393	0.2179	3	1.2704	1.1107	3	0
MicpuC2.estExt_Genewise1Plus.C_10710	scaffold_1	1091590	1093685	+	1	1214	1214	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
155	scaffold_1	1095000	1096048	+	0	646	646	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
156	scaffold_1	1097260	1098899	+	0	322	322	0	2	0	0.5674	0.8186	2	1.7637	1.6119	2	0
157	scaffold_1	1104506	1107315	+	1	64	64	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
158	scaffold_1	1115400	1116650	+	2	88	83	5	1	1	0.2181	0.3147	2	1.2437	1.1200	2	0
159	scaffold_1	1116689	1118632	+	2	86	86	0	2	0	0.1513	0.2183	2	1.1634	1.0722	2	0
160	scaffold_1	1130890	1131726	+	0	203	203	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_1_t30118	scaffold_1	1133584	1134713	+	1	409	409	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
162	scaffold_1	1136705	1138196	+	1	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
163	scaffold_1	1142739	1145190	+	3	22	8	14	1	1	0.6555	0.9457	2	1.9261	1.8615	2	0
estExt_Genewise1.C_1_t30147	scaffold_1	1162804	1165251	+	2	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
165	scaffold_1	1169920	1170703	+	0	376	376	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
166	scaffold_1	1186124	1187296	+	0	1720	1720	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_128_#_4271127:1	scaffold_1	1189546	1191017	+	1	1120	1120	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.1_#_130_#_4274574:1	scaffold_1	1195359	1196317	+	1	496	496	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
169	scaffold_1	1202986	1205387	+	2	19	9	10	2	1	1.0172	0.9259	3	2.7653	2.5603	3	0
170	scaffold_1	1213569	1214973	+	0	781	781	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
171	scaffold_1	1216023	1216947	+	2	850	814	36	1	1	0.1754	0.2530	2	1.1917	1.0883	2	0
fgenesh2_kg.1_#_132_#_4276745:4	scaffold_1	1220639	1221364	+	0	47	47	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
173	scaffold_1	1231715	1232418	+	1	1169	1169	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
174	scaffold_1	1238338	1240950	+	1	62	62	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_10793	scaffold_1	1245809	1247394	+	0	457	457	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
176	scaffold_1	1250590	1251073	+	0	49	49	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
177	scaffold_1	1258416	1259392	+	0	229	229	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
178	scaffold_1	1270643	1272174	+	0	88	88	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_10368	scaffold_1	1276606	1279013	+	1	62	62	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
180	scaffold_1	1279038	1279973	+	0	482	482	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_1_t20103	scaffold_1	1282721	1285089	+	1	10	10	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010674	scaffold_1	1286373	1287531	+	0	31	31	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
183	scaffold_1	1288118	1289193	+	2	318	318	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_10139	scaffold_1	1290187	1292100	+	1	8614	8614	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
185	scaffold_1	1304994	1305824	+	0	354	354	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
186	scaffold_1	1308127	1308668	+	0	307	307	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
187	scaffold_1	1315151	1316934	+	1	10	10	0	2	0	0.6931	1.0000	2	2.0000	2.0000	2	0
estExt_fgenesh2_kg.C_10140	scaffold_1	1325116	1327293	+	2	248	248	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_10824	scaffold_1	1327440	1328516	+	0	291	291	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
190	scaffold_1	1330417	1331279	+	1	228	228	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_1_t30274	scaffold_1	1334436	1335462	+	0	841	841	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
192	scaffold_1	1354942	1355943	+	0	132	132	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
193	scaffold_1	1355981	1356784	+	0	124	124	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
194	scaffold_1	1358463	1360000	+	1	65	65	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
195	scaffold_1	1364171	1365446	+	1	299	299	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
196	scaffold_1	1366255	1367257	+	1	38	0	38	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
197	scaffold_1	1367889	1369854	+	1	191	191	0	2	0	0.0808	0.1166	2	1.0842	1.0319	2	0
198	scaffold_1	1371204	1372247	+	1	15	4	11	1	2	1.0852	0.9878	3	2.9600	2.9221	3	0
fgenesh3_kg.1_#_64_#_isotig02896	scaffold_1	1372269	1373267	+	0	288	288	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_1_t20155	scaffold_1	1373687	1375707	+	0	6221	6221	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000010730	scaffold_1	1385539	1386737	+	0	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
202	scaffold_1	1392750	1393822	+	1	65	65	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_1_t30326	scaffold_1	1398025	1400133	+	1	150	150	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pg.C_10284	scaffold_1	1402656	1404161	+	0	8172	8172	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
205	scaffold_1	1409577	1410596	+	1	397	397	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
206	scaffold_1	1416393	1418161	+	2	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
207	scaffold_1	1457649	1458227	+	0	122	122	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_1_t30424	scaffold_1	1460176	1461645	+	0	40	40	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_1_t30393	scaffold_1	1471460	1472841	+	0	188	188	0	2	0	0.6655	0.9601	2	1.9455	1.8961	2	0
210	scaffold_1	1475052	1477112	+	2	103	103	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
211	scaffold_1	1486328	1487353	+	1	155	155	0	2	0	0.6504	0.9383	2	1.9163	1.8445	2	0
MicpuC2.estExt_Genewise1.C_10910	scaffold_1	1487571	1489563	+	1	3363	3363	0	2	0	0.3055	0.4408	2	1.3573	1.1989	2	0
213	scaffold_1	1499107	1500689	+	1	245	245	0	2	0	0.0661	0.0953	2	1.0683	1.0248	2	0
estExt_fgenesh2_kg.C_10157	scaffold_1	1502243	1503598	+	2	1614	1614	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_10936	scaffold_1	1505981	1506760	+	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
216	scaffold_1	1513677	1514479	+	0	556	556	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
217	scaffold_1	1516814	1517814	+	1	58	58	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
218	scaffold_1	1531855	1533935	+	1	93	93	0	2	0	0.6566	0.9472	2	1.9282	1.8652	2	0
219	scaffold_1	1534580	1536569	+	2	186	186	0	2	0	0.2095	0.3022	2	1.2330	1.1133	2	0
220	scaffold_1	1541008	1542364	+	0	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
221	scaffold_1	1549930	1551000	+	0	170	170	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
