isoform	chrom	start	end	gene_id	is_MT	has_IR	perc_A_downstream_TTS
Isoform9780_43	scaffold_1	169070	170045	26	0	False	20.0
Isoform9781_123	scaffold_1	171441	171991	27	0	False	15.0
Isoform9782_31	scaffold_1	172228	173246	3726	0	False	15.0
Isoform9783_4636	scaffold_1	173358	174245	28	0	False	45.0
Isoform9785_879	scaffold_1	178290	179159	3728	0	False	0.0
Isoform9786_31	scaffold_1	196680	198075	3729	0	True	10.0
Isoform9787_188	scaffold_1	199426	200489	33	0	False	30.0
Isoform9791_536	scaffold_1	219278	220300	35	0	False	20.0
Isoform9793_172	scaffold_1	228441	230525	37	0	False	55.00000000000001
Isoform9795_487	scaffold_1	249070	250121	3735	0	False	15.0
Isoform9799_182	scaffold_1	264540	264963	3736	0	False	10.0
Isoform9800_8	scaffold_1	265330	266008	MicpuC2.est_orfs.1_95_4273702:1	0	False	10.0
Isoform9805_29	scaffold_1	281442	282184	MicpuC2.EuGene.0000010133	0	False	35.0
Isoform9807_85	scaffold_1	289794	291831	estExt_Genemark1.C_1_t10125	0	False	35.0
Isoform9808_310	scaffold_1	302117	303348	3743	0	False	30.0
Isoform9809_45	scaffold_1	306595	307638	45	0	False	15.0
Isoform9810_915	scaffold_1	311450	312560	46	0	False	20.0
Isoform9813_39	scaffold_1	327447	329997	3746	0	False	5.0
Isoform9816_162	scaffold_1	351936	353191	51	0	False	10.0
Isoform9817_58	scaffold_1	356353	356981	52	0	False	60.0
Isoform9818_8	scaffold_1	359808	360619	53	0	False	15.0
Isoform9822_96	scaffold_1	365353	366651	55	0	False	25.0
Isoform9823_38	scaffold_1	369156	369910	56	0	False	15.0
Isoform9824_51	scaffold_1	379915	381090	58	0	False	10.0
Isoform9825_82	scaffold_1	380041	381090	58	0	False	10.0
Isoform9826_108	scaffold_1	380199	381090	58	0	False	10.0
Isoform9829_116	scaffold_1	380497	381089	58	0	False	10.0
Isoform9830_619	scaffold_1	381026	382195	3752	0	False	25.0
Isoform9832_174	scaffold_1	382411	382998	59	0	False	30.0
Isoform9833_140	scaffold_1	382970	384239	3753	0	False	15.0
Isoform9835_84	scaffold_1	384292	385991	60	0	False	5.0
Isoform9836_1671	scaffold_1	404741	405471	MicpuC2.estExt_fgenesh1_pg.C_10116	0	False	20.0
Isoform9839_6776	scaffold_1	410866	411886	62	0	False	50.0
Isoform9845_340	scaffold_1	415877	416800	63	0	False	25.0
Isoform9846_411	scaffold_1	416775	418670	3756	0	True	35.0
Isoform9848_68	scaffold_1	423942	425499	64	0	False	5.0
Isoform9849_1038	scaffold_1	431515	433080	3758	0	True	50.0
Isoform9851_128	scaffold_1	433195	435373	estExt_Genewise1.C_1_t10364	0	False	45.0
Isoform9852_72	scaffold_1	437288	439397	66	0	False	30.0
Isoform9854_532	scaffold_1	439368	441185	MicpuC2.EuGene.0000010217	0	False	15.0
Isoform9861_85	scaffold_1	446468	447313	MicpuC2.est_orfs.1_165_4273557:1	0	False	35.0
Isoform9862_1034	scaffold_1	447270	448271	3761	0	False	15.0
Isoform9864_127	scaffold_1	457169	458079	3762	0	False	10.0
Isoform9869_105	scaffold_1	463912	465074	71	0	False	15.0
Isoform9871_1071	scaffold_1	470712	472590	72	0	False	0.0
Isoform9875_61	scaffold_1	472710	473733	73	0	True	10.0
Isoform9876_253	scaffold_1	479789	480598	estExt_fgenesh2_kg.C_10041	0	False	10.0
Isoform9877_876	scaffold_1	484972	485994	77	0	False	10.0
Isoform9879_107	scaffold_1	485952	486369	3766	0	False	30.0
Isoform9880_73	scaffold_1	486570	488583	78	0	False	5.0
Isoform9885_205	scaffold_1	494839	496924	80	0	False	5.0
Isoform9887_15	scaffold_1	498575	500207	fgenesh2_kg.1_#_47_#_4274222:1	0	False	20.0
Isoform9889_61	scaffold_1	511344	512110	3770	0	False	20.0
Isoform9890_225	scaffold_1	511570	512110	3770	0	False	15.0
Isoform9891_61	scaffold_1	517215	518810	3771	0	False	55.00000000000001
Isoform9892_47	scaffold_1	522471	523622	fgenesh2_kg.1_#_50_#_4271889:1	0	True	20.0
Isoform9893_98	scaffold_1	522654	523624	fgenesh2_kg.1_#_50_#_4271889:1	0	True	15.0
Isoform9895_297	scaffold_1	536924	537866	MicpuC2.EuGene.0000010268	0	False	15.0
Isoform9902_122	scaffold_1	552781	554103	estExt_fgenesh3_kg.C_10028	0	True	40.0
Isoform9905_244	scaffold_1	560314	560905	3776	0	False	30.0
Isoform9906_10	scaffold_1	570227	571023	3778	0	False	15.0
Isoform9907_116	scaffold_1	585367	586466	MicpuC2.estExt_fgenesh1_pg.C_10170	0	False	25.0
Isoform9908_116	scaffold_1	585523	586466	MicpuC2.estExt_fgenesh1_pg.C_10170	0	False	25.0
Isoform9913_152	scaffold_1	588929	589656	3781	0	False	10.0
Isoform9914_278	scaffold_1	591165	592932	92	0	False	25.0
Isoform9915_439	scaffold_1	592887	594422	3782	0	True	15.0
Isoform9919_77	scaffold_1	594534	595996	3783	0	False	25.0
Isoform9920_174	scaffold_1	594593	595996	3783	0	False	20.0
Isoform9921_208	scaffold_1	596124	597343	93	0	False	15.0
Isoform9923_95	scaffold_1	597312	598355	3784	0	False	15.0
Isoform9924_585	scaffold_1	598478	599252	94	0	False	15.0
Isoform9928_144	scaffold_1	608923	609438	3787	0	False	5.0
Isoform9929_4	scaffold_1	615290	616221	MicpuC2.AZW_est_orfs.1_230_4278492:2	0	False	15.0
Isoform9930_24	scaffold_1	616242	617439	97	0	False	35.0
Isoform9931_90	scaffold_1	630171	630661	3788	0	False	5.0
Isoform9934_113	scaffold_1	630919	632219	estExt_fgenesh2_kg.C_10060	0	False	5.0
Isoform9935_3	scaffold_1	632178	635973	3789	0	False	20.0
Isoform9936_151	scaffold_1	647198	647896	99	0	False	30.0
Isoform9937_52	scaffold_1	651711	653192	102	0	False	40.0
Isoform9938_122	scaffold_1	653147	654334	3790	0	True	10.0
Isoform9939_338	scaffold_1	657695	659282	103	0	False	10.0
Isoform9940_131	scaffold_1	668042	668825	3791	0	False	5.0
Isoform9941_63	scaffold_1	670679	671505	3792	0	False	15.0
Isoform9942_68	scaffold_1	673646	674152	3793	0	False	10.0
Isoform9943_41	scaffold_1	673646	674705	3793	0	False	10.0
Isoform9944_450	scaffold_1	696814	697540	MicpuC2.EuGene.0000010343	0	False	10.0
Isoform9945_3815	scaffold_1	712662	713276	3795	0	False	20.0
Isoform9948_556	scaffold_1	719490	720127	3796	0	True	25.0
Isoform9951_170	scaffold_1	723634	724516	105	0	False	5.0
Isoform9952_28	scaffold_1	726922	729105	3797	0	True	25.0
Isoform9953_140	scaffold_1	730475	731325	3798	0	False	20.0
Isoform9954_140	scaffold_1	736073	737258	3799	0	True	10.0
Isoform9956_102	scaffold_1	739289	740788	3800	0	False	20.0
Isoform9957_101	scaffold_1	740902	741479	107	0	True	35.0
Isoform9961_777	scaffold_1	745908	746596	108	0	False	10.0
Isoform9968_52	scaffold_1	747578	748766	fgenesh2_kg.1_#_79_#_4277156:147	0	True	35.0
Isoform9980_20	scaffold_1	755638	756317	110	0	False	10.0
Isoform9981_14	scaffold_1	757375	758752	111	0	False	30.0
Isoform9982_34	scaffold_1	758724	759923	MicpuC2.EuGene.0000010371	0	False	15.0
Isoform9986_93	scaffold_1	766736	767791	estExt_fgenesh2_kg.C_10083	0	False	5.0
Isoform9987_18	scaffold_1	767825	769380	3805	0	False	25.0
Isoform9990_529	scaffold_1	774455	776035	estExt_fgenesh2_kg.C_10085	0	True	35.0
Isoform10002_77	scaffold_1	774543	775187	112	0	False	10.0
Isoform10005_67	scaffold_1	774543	775509	112	0	False	25.0
Isoform10017_105	scaffold_1	774627	775591	112	0	False	30.0
Isoform10026_18	scaffold_1	784154	784807	3809	0	False	5.0
Isoform10027_828	scaffold_1	784314	784807	3809	0	False	10.0
Isoform10028_2295	scaffold_1	784923	786239	113	0	False	40.0
Isoform10029_118	scaffold_1	784923	786305	113	0	False	30.0
Isoform10033_48	scaffold_1	786330	788259	114	0	False	20.0
Isoform10034_36	scaffold_1	788202	789800	MicpuC2.EuGene.0000010384	0	False	10.0
Isoform10035_1258	scaffold_1	788864	789800	MicpuC2.EuGene.0000010384	0	False	10.0
Isoform10036_9	scaffold_1	809046	810194	fgenesh2_kg.1_#_90_#_4277716:1	0	False	55.00000000000001
Isoform10037_109	scaffold_1	791984	792878	3811	0	False	25.0
Isoform10038_79	scaffold_1	805997	807103	3812	0	False	15.0
Isoform10039_746	scaffold_1	806100	807103	3812	0	False	35.0
Isoform10044_148	scaffold_1	807936	808629	3813	0	False	30.0
Isoform10045_41	scaffold_1	807918	808796	3813	0	False	30.0
Isoform10047_62	scaffold_1	809300	810979	fgenesh2_kg.1_#_90_#_4277716:1	0	False	25.0
Isoform10060_79	scaffold_1	823083	824399	3815	0	False	50.0
Isoform10062_39	scaffold_1	823083	824737	3815	0	False	50.0
Isoform10066_14	scaffold_1	823083	826432	3815	0	True	50.0
Isoform10127_20	scaffold_1	825044	825257	115	0	False	25.0
Isoform10129_382	scaffold_1	825044	825558	3815	0	False	50.0
Isoform10136_106	scaffold_1	827906	830384	117	0	True	15.0
Isoform10138_40	scaffold_1	830340	831943	estExt_Genewise1Plus.C_1_t20248	0	True	15.0
Isoform10139_83	scaffold_1	832797	835138	estExt_fgenesh2_kg.C_10091	0	False	10.0
Isoform10141_683	scaffold_1	835385	836666	119	0	False	5.0
Isoform10146_2471	scaffold_1	847587	848753	120	0	False	10.0
Isoform10151_47	scaffold_1	848868	851318	121	0	False	15.0
Isoform10152_41	scaffold_1	851273	852025	3819	0	True	20.0
Isoform10153_108	scaffold_1	854603	855729	MicpuC2.estExt_Genewise1Plus.C_10496	0	True	25.0
Isoform10154_106	scaffold_1	859270	860137	3822	0	True	15.0
Isoform10155_1340	scaffold_1	863899	864694	123	0	False	25.0
Isoform10156_245	scaffold_1	869202	870298	3823	0	True	30.0
Isoform10157_71	scaffold_1	871501	872831	MicpuC2.estExt_Genewise1Plus.C_10514	0	False	35.0
Isoform10159_80	scaffold_1	875959	876763	3825	0	False	25.0
Isoform10160_73	scaffold_1	876850	879176	3826	0	False	10.0
Isoform10161_99	scaffold_1	879278	881189	126	0	True	15.0
Isoform10162_1480	scaffold_1	881295	882992	fgenesh2_kg.1_#_98_#_4277080:1	0	False	20.0
Isoform10166_6	scaffold_1	886568	887634	estExt_fgenesh1_pm.C_1_t10212	0	False	5.0
Isoform10167_57	scaffold_1	887583	888459	3828	0	False	35.0
Isoform10169_38	scaffold_1	900525	902037	130	0	False	25.0
Isoform10172_1020	scaffold_1	905194	906338	131	0	False	25.0
Isoform10177_46	scaffold_1	912776	913725	MicpuC2.estExt_Genewise1Plus.C_10554	0	True	0.0
Isoform10179_42	scaffold_1	916290	917080	3832	0	False	30.0
Isoform10180_582	scaffold_1	917723	918727	3833	0	False	45.0
Isoform10181_364	scaffold_1	918851	920242	133	0	False	15.0
Isoform10183_76	scaffold_1	934639	935529	estExt_Genewise1Plus.C_1_t20372	0	False	25.0
Isoform10184_68	scaffold_1	937999	939414	135	0	False	20.0
Isoform10185_258	scaffold_1	939375	941216	MicpuC2.estExt_fgenesh1_pm.C_10059	0	False	40.0
Isoform10186_99	scaffold_1	945436	946561	estExt_fgenesh1_pm.C_1_t10238	0	False	10.0
Isoform10187_93	scaffold_1	946521	948572	3838	0	False	30.0
Isoform10189_9	scaffold_1	952136	952903	3840	0	True	20.0
Isoform10195_112	scaffold_1	963253	964515	MicpuC2.estExt_fgenesh1_pg.C_10273	0	False	15.0
Isoform10202_259	scaffold_1	969687	970724	3844	0	False	20.0
Isoform10203_84	scaffold_1	970792	971790	143	0	False	20.0
Isoform10206_69	scaffold_1	971745	972806	fgenesh2_kg.1_#_109_#_4274452:1	0	False	10.0
Isoform10207_265	scaffold_1	974730	975846	144	0	False	55.00000000000001
Isoform10208_44	scaffold_1	977895	978535	145	0	False	30.0
Isoform10209_32	scaffold_1	981473	982485	3849	0	False	10.0
Isoform10210_84	scaffold_1	981612	982485	3849	0	False	10.0
Isoform10214_53	scaffold_1	987532	988611	MicpuC2.estExt_fgenesh1_kg.C_10043	0	False	5.0
Isoform10215_36	scaffold_1	993340	994184	estExt_fgenesh1_pm.C_1_t10269	0	False	0.0
Isoform10216_4	scaffold_1	994354	995476	estExt_fgenesh1_pm.C_1_t10269	0	False	25.0
Isoform10217_4	scaffold_1	1033685	1034444	150	0	False	35.0
Isoform10218_57	scaffold_1	1035470	1036474	151	0	False	10.0
Isoform10219_64	scaffold_1	1043783	1045317	3858	0	False	15.0
Isoform10220_33	scaffold_1	1051021	1052164	3859	0	False	10.0
Isoform10221_97	scaffold_1	1060796	1061977	MicpuC2.estExt_fgenesh1_pg.C_10302	0	False	20.0
Isoform10222_23	scaffold_1	1060796	1062101	MicpuC2.estExt_fgenesh1_pg.C_10302	0	False	20.0
Isoform10223_10	scaffold_1	1068582	1069011	estExt_Genewise1Plus.C_1_t30023	0	False	15.0
Isoform10224_565	scaffold_1	1072642	1073794	3862	0	False	5.0
Isoform10225_21	scaffold_1	1080842	1081472	MicpuC2.estExt_Genewise1Plus.C_10699	0	True	0.0
Isoform10226_458	scaffold_1	1083821	1085344	152	0	False	20.0
Isoform10231_647	scaffold_1	1095000	1096048	156	0	False	15.0
Isoform10232_677	scaffold_1	1096013	1097159	3866	0	False	20.0
Isoform10233_239	scaffold_1	1097260	1098724	157	0	False	5.0
Isoform10234_82	scaffold_1	1097260	1098899	157	0	False	20.0
Isoform10235_152	scaffold_1	1103377	1104420	3867	0	True	15.0
Isoform10237_4600	scaffold_1	1107701	1108201	fgenesh2_kg.1_#_119_#_4279477:1	0	False	10.0
Isoform10239_3704	scaffold_1	1118593	1120272	MicpuC2.EuGene.0000010575	0	False	35.0
Isoform10241_204	scaffold_1	1130890	1131726	161	0	False	15.0
Isoform10242_641	scaffold_1	1138124	1139154	MicpuC2.EuGene.0000010588	0	False	15.0
Isoform10245_7	scaffold_1	1139194	1140286	3872	0	False	0.0
Isoform10246_154	scaffold_1	1139252	1140286	3872	0	False	5.0
Isoform10247_120	scaffold_1	1141518	1142660	3873	0	False	5.0
Isoform10248_179	scaffold_1	1145151	1146490	fgenesh2_kg.1_#_122_#_4271213:1	0	False	55.00000000000001
Isoform10249_26	scaffold_1	1152572	1153923	estExt_fgenesh1_pm.C_1_t10310	0	False	5.0
Isoform10251_36	scaffold_1	1165302	1166478	MicpuC2.EuGene.0000010602	0	False	30.0
Isoform10252_409	scaffold_1	1169920	1170708	166	0	False	70.0
Isoform10253_1712	scaffold_1	1176883	1177288	3879	0	False	25.0
Isoform10254_31	scaffold_1	1184028	1185915	168	0	False	20.0
Isoform10255_1720	scaffold_1	1186124	1187329	169	0	False	20.0
Isoform10260_24	scaffold_1	1195359	1196317	fgenesh2_kg.1_#_130_#_4274574:1	0	True	5.0
Isoform10261_98	scaffold_1	1199824	1201741	MicpuC2.EuGene.0000010620	0	False	25.0
Isoform10262_360	scaffold_1	1201923	1202852	3884	0	False	15.0
Isoform10264_690	scaffold_1	1212776	1213377	3887	0	False	10.0
Isoform10265_781	scaffold_1	1213569	1214973	173	0	False	5.0
Isoform10266_173	scaffold_1	1214924	1215879	3888	0	True	15.0
Isoform10270_47	scaffold_1	1220639	1221364	fgenesh2_kg.1_#_132_#_4276745:4	0	False	5.0
Isoform10271_132	scaffold_1	1221377	1222240	176	0	False	5.0
Isoform10273_352	scaffold_1	1232357	1233567	MicpuC2.EuGene.0000010643	0	False	5.0
Isoform10274_462	scaffold_1	1245809	1247394	MicpuC2.estExt_Genewise1Plus.C_10793	0	False	30.0
Isoform10280_35	scaffold_1	1250134	1251073	180	0	False	10.0
Isoform10283_229	scaffold_1	1258416	1259388	181	0	False	0.0
Isoform10285_88	scaffold_1	1270643	1272174	182	0	False	10.0
Isoform10286_483	scaffold_1	1279038	1279962	184	0	True	30.0
Isoform10288_662	scaffold_1	1289143	1289934	estExt_Genemark1.C_1_t20091	0	False	15.0
Isoform10299_355	scaffold_1	1304994	1305827	188	0	False	15.0
Isoform10300_146	scaffold_1	1306596	1308005	estExt_Genemark1.C_1_t20091	0	False	15.0
Isoform10301_309	scaffold_1	1308127	1308665	189	0	False	25.0
Isoform10303_34	scaffold_1	1316913	1317893	estExt_Genemark1.C_1_t20091	0	True	25.0
Isoform10304_291	scaffold_1	1327440	1328516	MicpuC2.estExt_Genewise1Plus.C_10824	0	False	30.0
Isoform10310_839	scaffold_1	1334436	1335460	estExt_Genewise1Plus.C_1_t30274	0	False	25.0
Isoform10312_132	scaffold_1	1354942	1355943	195	0	False	20.0
Isoform10313_123	scaffold_1	1355981	1356786	196	0	False	20.0
Isoform10315_355	scaffold_1	1356668	1358377	estExt_Genemark1.C_1_t20091	0	False	0.0
Isoform10317_240	scaffold_1	1365348	1366196	estExt_Genemark1.C_1_t20091	0	False	5.0
Isoform10318_5	scaffold_1	1366255	1367707	estExt_Genemark1.C_1_t20091	0	False	35.0
Isoform10320_280	scaffold_1	1372269	1373267	fgenesh3_kg.1_#_64_#_isotig02896	0	False	20.0
Isoform10321_6221	scaffold_1	1373687	1375707	estExt_Genemark1.C_1_t20155	0	False	25.0
Isoform10341_25	scaffold_1	1386195	1386737	MicpuC2.EuGene.0000010730	0	False	5.0
Isoform10342_53	scaffold_1	1386695	1387470	estExt_Genemark1.C_1_t20091	0	False	0.0
Isoform10344_8178	scaffold_1	1402656	1404164	estExt_fgenesh1_pg.C_10284	0	False	20.0
Isoform10350_33	scaffold_1	1406616	1408096	estExt_Genewise1Plus.C_1_t30342	0	False	20.0
Isoform10352_52	scaffold_1	1453862	1455354	212	0	False	15.0
Isoform10353_122	scaffold_1	1457649	1458227	213	0	False	15.0
Isoform10354_32	scaffold_1	1458190	1460088	MicpuC2.est_orfs.1_594_4277949:1	0	False	15.0
Isoform10355_143	scaffold_1	1461607	1463455	3900	0	True	10.0
Isoform10356_11	scaffold_1	1467403	1467717	MicpuC2.estExt_Genewise1.C_10892	0	False	25.0
Isoform10357_85	scaffold_1	1479430	1481145	3902	0	True	20.0
Isoform10358_100	scaffold_1	1481294	1481835	3903	0	False	0.0
Isoform10370_556	scaffold_1	1513677	1514479	220	0	False	5.0
Isoform10372_41	scaffold_1	1524839	1526056	3909	0	False	15.0
Isoform10373_53	scaffold_1	1541008	1542386	224	0	False	5.0
Isoform10374_170	scaffold_1	1549930	1551000	225	0	False	15.0
Isoform10375_145	scaffold_1	1563106	1564846	estExt_Genewise1Plus.C_1_t30486	0	True	30.0
Isoform10376_95	scaffold_1	1577757	1579324	229	0	False	35.0
Isoform10378_408	scaffold_1	1581702	1582455	estExt_fgenesh3_kg.C_10071	0	False	15.0
Isoform10379_293	scaffold_1	1585724	1587734	estExt_fgenesh1_pm.C_1_t10426	0	True	20.0
Isoform10382_34	scaffold_1	1587693	1588363	3915	0	False	5.0
Isoform10383_45	scaffold_1	1591531	1592488	estExt_fgenesh1_pm.C_1_t10428	0	True	30.0
Isoform10384_46	scaffold_1	1591914	1592488	estExt_fgenesh1_pm.C_1_t10428	0	True	30.0
Isoform10385_139	scaffold_1	1594371	1594964	233	0	False	35.0
Isoform10386_115	scaffold_1	1612076	1613855	3918	0	True	20.0
Isoform10387_13	scaffold_1	1633055	1635651	237	0	True	15.0
Isoform10388_293	scaffold_1	1636329	1637069	estExt_fgenesh2_kg.C_10163	0	False	10.0
Isoform10389_517	scaffold_1	1640438	1641397	239	0	False	20.0
Isoform10392_13	scaffold_1	1642755	1645612	estExt_Genewise1Plus.C_1_t40040	0	True	10.0
Isoform10393_439	scaffold_1	1651531	1652450	3922	0	False	25.0
Isoform10394_104	scaffold_1	1651531	1652749	3922	0	False	25.0
Isoform10397_77	scaffold_1	1651531	1653084	3922	0	False	25.0
Isoform10399_207	scaffold_1	1651531	1652583	3922	0	False	25.0
Isoform10400_172	scaffold_1	1651531	1652656	3922	0	False	25.0
Isoform10401_48	scaffold_1	1651531	1653296	3922	0	False	25.0
Isoform10405_64	scaffold_1	1655196	1657190	241	0	True	10.0
Isoform10406_29	scaffold_1	1658548	1659777	3923	0	False	5.0
Isoform10407_279	scaffold_1	1658680	1659777	3923	0	False	20.0
Isoform10408_469	scaffold_1	1661932	1663643	fgenesh2_kg.1_#_166_#_4273271:1	0	False	10.0
Isoform10409_56	scaffold_1	1663937	1665025	MicpuC2.EuGene.0000010861	0	False	15.0
Isoform10410_31	scaffold_1	1664981	1666991	3924	0	True	60.0
Isoform10411_73	scaffold_1	1667113	1668218	244	0	False	5.0
Isoform10412_4	scaffold_1	1668176	1669524	3925	0	True	0.0
Isoform10413_302	scaffold_1	1670471	1671315	245	0	False	20.0
Isoform10414_65	scaffold_1	1675037	1676628	247	0	False	25.0
Isoform10415_51	scaffold_1	1681119	1683627	estExt_fgenesh1_pg.C_10332	0	False	5.0
Isoform10416_1801	scaffold_1	1686034	1686966	fgenesh2_kg.1_#_170_#_4274268:1	0	False	5.0
Isoform10419_226	scaffold_1	1686850	1687551	3928	0	False	10.0
Isoform10421_127	scaffold_1	1693282	1694341	fgenesh2_kg.1_#_172_#_4276749:1	0	False	40.0
Isoform10423_214	scaffold_1	1695949	1697915	3929	0	True	20.0
Isoform10424_1000	scaffold_1	1701046	1701731	MicpuC2.est_orfs.1_677_4272172:1	0	False	45.0
Isoform10427_194	scaffold_1	1711577	1712638	257	0	False	10.0
Isoform10428_137	scaffold_1	1712600	1713757	3931	0	False	5.0
Isoform10429_65	scaffold_1	1715122	1716427	3932	0	False	10.0
Isoform10430_579	scaffold_1	1724913	1726549	MicpuC2.est_orfs.1_684_4269384:3	0	False	15.0
Isoform10435_50	scaffold_1	1738904	1740166	261	0	False	35.0
Isoform10438_387	scaffold_1	1759562	1760606	3937	0	False	5.0
Isoform10439_290	scaffold_1	1760743	1761784	264	0	True	10.0
Isoform10440_57	scaffold_1	1761746	1763715	3938	0	False	15.0
Isoform10441_1527	scaffold_1	1775931	1777161	3939	0	False	10.0
Isoform10444_76	scaffold_1	1799641	1802294	MicpuC2.est_orfs.1_719_4269647:2	0	False	25.0
Isoform10445_108	scaffold_1	1815459	1817209	estExt_Genewise1Plus.C_1_t40215	0	False	35.0
Isoform10448_90	scaffold_1	1837268	1838034	270	0	False	15.0
Isoform10449_132	scaffold_1	1856548	1857311	274	0	False	35.0
Isoform10450_181	scaffold_1	1856548	1857249	274	0	False	30.0
Isoform10451_13	scaffold_1	1862118	1863274	275	0	False	35.0
Isoform10453_517	scaffold_1	1865460	1866369	estExt_Genemark1.C_1_t20386	0	True	35.0
Isoform10454_72	scaffold_1	1867508	1868911	3949	0	False	25.0
Isoform10455_68	scaffold_1	1880666	1881294	278	0	False	15.0
Isoform10456_364	scaffold_1	1884289	1885222	279	0	False	15.0
Isoform10457_127	scaffold_1	1889832	1890703	estExt_Genewise1Plus.C_1_t40286	0	False	15.0
Isoform10458_20	scaffold_1	1890656	1892348	3952	0	False	15.0
Isoform10466_255	scaffold_1	1905124	1906148	282	0	False	25.0
Isoform10467_208	scaffold_1	1906217	1907012	fgenesh2_kg.1_#_191_#_4277961:1	0	False	30.0
Isoform10468_6	scaffold_1	1920538	1922478	estExt_Genemark1.C_1_t20416	0	False	15.0
Isoform10469_23	scaffold_1	1921773	1922482	estExt_Genemark1.C_1_t20416	0	False	15.0
Isoform10470_78	scaffold_1	1925271	1926432	286	0	False	30.0
Isoform10471_316	scaffold_1	1936473	1937974	estExt_Genewise1.C_1_t40382	0	False	25.0
Isoform10472_687	scaffold_1	1937929	1939140	fgenesh2_kg.1_#_195_#_4275210:17	0	False	25.0
Isoform10474_5319	scaffold_1	1939297	1940459	289	0	True	15.0
Isoform10479_134	scaffold_1	1948665	1949701	3957	0	False	30.0
Isoform10480_123	scaffold_1	1952081	1953548	292	0	False	20.0
Isoform10481_245	scaffold_1	1957720	1958426	estExt_Genewise1.C_1_t40418	0	False	10.0
Isoform10483_290	scaffold_1	1963254	1964098	3960	0	False	10.0
Isoform10484_327	scaffold_1	1964326	1965667	295	0	False	15.0
Isoform10485_2880	scaffold_1	1965845	1967193	296	0	False	35.0
Isoform10488_26	scaffold_1	1972417	1974086	298	0	False	40.0
Isoform10493_43	scaffold_1	1977243	1979208	3962	0	False	15.0
Isoform10495_196	scaffold_1	2002709	2003403	3963	0	False	30.0
Isoform10496_243	scaffold_1	2008826	2009760	3965	0	False	55.00000000000001
Isoform10498_66	scaffold_1	2014358	2014982	304	0	False	0.0
Isoform10499_7	scaffold_1	2021660	2022499	3966	0	True	30.0
Isoform10500_28	scaffold_1	2022611	2023716	305	0	True	30.0
Isoform10501_67	scaffold_1	2027317	2028865	fgenesh2_kg.1_#_207_#_4277106:1	0	False	5.0
Isoform10511_13	scaffold_1	2034465	2035692	estExt_fgenesh1_pg.C_10406	0	False	0.0
Isoform10514_615	scaffold_1	2041424	2042616	3970	0	False	25.0
Isoform10517_32	scaffold_1	2049244	2050937	3972	0	False	10.0
Isoform10518_24	scaffold_1	2052585	2055231	MicpuC2.estExt_fgenesh1_pm.C_10126	0	False	45.0
Isoform10519_95	scaffold_1	2065089	2065878	3976	0	False	10.0
Isoform10521_174	scaffold_1	2082205	2083548	313	0	False	5.0
Isoform10522_15	scaffold_1	2083497	2084652	3978	0	False	20.0
Isoform10523_143	scaffold_1	2086986	2088223	3979	0	True	40.0
Isoform10524_151	scaffold_1	2093581	2094496	3980	0	False	20.0
Isoform10525_634	scaffold_1	2094607	2095266	314	0	False	0.0
Isoform10527_61	scaffold_1	2095102	2096758	3981	0	False	10.0
Isoform10528_310	scaffold_1	2119769	2121325	estExt_Genewise1.C_1_t50037	0	False	10.0
